# Synthesized Time Series | Mean = 155.31; Std = 223.70
Index,Value
174,0.00
175,0.00
176,0.00
177,44.08
178,143.32
179,216.28
180,261.81
181,269.10
182,285.27
183,274.06
184,169.66
185,56.12
186,0.00
187,0.00
188,0.00
189,0.00
190,0.00
191,0.00
192,0.00
193,0.00
194,0.00
195,0.00
196,0.00
197,0.00
198,0.00
199,0.00
200,0.00
201,63.68
202,207.40
203,310.58
204,395.27
205,341.54
206,311.06
207,247.76
208,181.62
209,53.33
210,0.00
211,0.00
212,0.00
213,0.00
214,0.00
215,0.00
216,0.00
217,0.00
218,0.00
219,0.00
220,0.00
221,0.00
222,0.00
223,0.00
224,0.00
225,53.85
226,205.47
227,332.21
228,399.99
229,445.14
230,333.72
231,294.71
232,197.79
233,58.35
234,0.00
235,0.00
236,0.00
237,0.00
238,0.00
239,0.00
240,0.00
241,0.00
242,0.00
243,0.00
244,0.00
245,0.00
246,0.00
247,0.00
248,0.00
249,65.69
250,199.80
251,289.99
252,353.98
253,358.56
254,367.75
255,319.25
256,203.53
257,64.00
258,0.00
259,0.00
260,0.00
261,0.00
262,0.00
263,0.00
264,0.00
265,0.00
266,0.00
267,0.00
268,0.00
269,0.00
270,0.00
271,0.00
272,0.00
273,61.96
274,191.70
275,302.25
276,329.10
277,408.47
278,355.89
279,309.76
280,210.94
281,69.63
282,0.00
283,0.00
284,0.00
285,0.00
286,0.00
287,0.00
288,0.00
289,0.00
290,0.00
291,0.00
292,0.00
293,0.00
294,0.00
295,0.00
296,0.00
297,61.42
298,181.05
299,284.59
300,394.24
301,422.84
302,336.40
303,283.61
304,181.02
305,59.91
306,0.00
307,0.00
308,0.00
309,0.00
310,0.00
311,0.00
312,0.00
313,0.00
314,0.00
315,0.00
316,0.00
317,0.00
318,0.00
319,0.00
320,0.00
321,67.88
322,205.56
323,264.52
324,262.03
325,270.49
326,272.76
327,211.15
328,167.13
329,51.68
330,0.00
331,0.00
332,0.00
333,0.00
334,0.00
335,0.00
336,0.00
337,0.00
338,0.00
339,0.00
340,0.00
341,0.00
342,0.00
343,0.00
344,0.00
345,71.50
346,208.26
347,287.27
348,353.92
349,365.71
350,371.29
351,329.49
352,236.53
353,72.32
354,0.00
355,0.00
356,0.00
357,0.00
358,0.00
359,0.00
360,0.00
361,0.00
362,0.00
363,0.00
364,0.00
365,0.00
366,0.00
367,0.00
368,0.00
369,70.23
370,175.04
371,280.61
372,358.87
373,370.21
374,317.59
375,259.48
376,183.60
377,64.36
378,0.00
379,0.00
380,0.00
381,0.00
382,0.00
383,0.00
384,0.00
385,0.00
386,0.00
387,0.00
388,0.00
389,0.00
390,0.00
391,0.00
392,0.00
393,61.64
394,171.65
395,273.95
396,268.35
397,344.09
398,236.48
399,189.27
400,157.79
401,58.85
402,0.00
403,0.00
404,0.00
405,0.00
406,0.00
407,0.00
408,0.00
409,0.00
410,0.00
411,0.00
412,0.00
413,0.00
414,0.00
415,0.00
416,0.00
417,71.12
418,206.67
419,340.35
420,350.38
421,374.83
422,340.43
423,275.21
424,176.23
425,82.56
426,0.00
427,0.00
428,0.00
429,0.00
430,0.00
431,0.00
432,0.00
433,0.00
434,0.00
435,0.00
436,0.00
437,0.00
438,0.00
439,0.00
440,0.00
441,86.42
442,229.44
443,310.26
444,429.66
445,455.77
446,404.95
447,330.68
448,228.05
449,84.84
450,0.00
451,0.00
452,0.00
453,0.00
454,0.00
455,0.00
456,0.00
457,0.00
458,0.00
459,0.00
460,0.00
461,0.00
462,0.00
463,0.00
464,0.00
465,32.56
466,138.84
467,251.73
468,283.88
469,297.08
470,328.66
471,272.25
472,217.19
473,75.27
474,0.00
475,0.00
476,0.00
477,0.00
478,0.00
479,0.00
480,0.00
481,0.00
482,0.00
483,0.00
484,0.00
485,0.00
486,0.00
487,0.00
488,0.00
489,92.83
490,215.87
491,291.15
492,344.69
493,368.00
494,347.57
495,292.09
496,206.26
497,90.06
498,0.00
499,0.00
500,0.00
501,0.00
502,0.00
503,0.00
504,0.00
505,0.00
506,0.00
507,0.00
508,0.00
509,0.00
510,0.00
511,0.00
512,0.00
513,99.68
514,229.41
515,346.83
516,412.97
517,479.64
518,385.81
519,244.07
520,196.78
521,88.58
522,0.00
523,0.00
524,0.00
525,0.00
526,0.00
527,0.00
528,0.00
529,0.00
530,0.00
531,0.00
532,0.00
533,0.00
534,0.00
535,0.00
536,0.00
537,103.86
538,241.31
539,368.60
540,385.97
541,357.75
542,355.35
543,313.59
544,195.05
545,85.74
546,0.00
547,0.00
548,0.00
549,0.00
550,0.00
551,0.00
552,0.00
553,0.00
554,0.00
555,0.00
556,0.00
557,0.00
558,0.00
559,0.00
560,0.00
561,83.34
562,205.74
563,323.31
564,422.15
565,431.77
566,358.86
567,329.77
568,221.82
569,94.27
570,0.00
571,0.00
572,0.00
573,0.00
574,0.00
575,0.00
576,0.00
577,0.00
578,0.00
579,0.00
580,0.00
581,0.00
582,0.00
583,0.00
584,0.00
585,16.97
586,45.14
587,71.79
588,83.15
589,97.56
590,50.42
591,57.66
592,24.05
593,12.03
594,0.00
595,0.00
596,0.00
597,0.00
598,0.00
599,0.00
600,0.00
601,0.00
602,0.00
603,0.00
604,0.00
605,0.00
606,0.00
607,0.00
608,0.00
609,32.52
610,88.90
611,102.31
612,138.07
613,159.31
614,195.30
615,180.71
616,195.40
617,90.97
618,0.00
619,0.00
620,0.00
621,0.00
622,0.00
623,0.00
624,0.00
625,0.00
626,0.00
627,0.00
628,0.00
629,0.00
630,0.00
631,0.00
632,0.00
633,45.44
634,140.42
635,211.86
636,248.74
637,295.90
638,383.18
639,326.12
640,211.91
641,94.61
642,0.00
643,0.00
644,0.00
645,0.00
646,0.00
647,0.00
648,0.00
649,0.00
650,0.00
651,0.00
652,0.00
653,0.00
654,0.00
655,0.00
656,0.00
657,109.62
658,258.43
659,365.27
660,410.16
661,442.34
662,420.74
663,357.68
664,254.50
665,113.67
666,0.00
667,0.00
668,0.00
669,0.00
670,0.00
671,0.00
672,0.00
673,0.00
674,0.00
675,0.00
676,0.00
677,0.00
678,0.00
679,0.00
680,0.00
681,119.98
682,263.42
683,405.74
684,478.25
685,478.70
686,432.01
687,313.54
688,195.04
689,81.10
690,0.00
691,0.00
692,0.00
693,0.00
694,0.00
695,0.00
696,0.00
697,0.00
698,0.00
699,0.00
700,0.00
701,0.00
702,0.00
703,0.00
704,0.00
705,89.74
706,209.67
707,297.73
708,361.68
709,379.40
710,365.40
711,358.93
712,271.31
713,100.61
714,0.00
715,0.00
716,0.00
717,0.00
718,0.00
719,0.00
720,0.00
721,0.00
722,0.00
723,0.00
724,0.00
725,0.00
726,0.00
727,0.00
728,0.00
729,82.12
730,184.11
731,202.12
732,259.28
733,224.69
734,204.89
735,164.50
736,136.46
737,68.64
738,0.00
739,0.00
740,0.00
741,0.00
742,0.00
743,0.00
744,0.00
745,0.00
746,0.00
747,0.00
748,0.00
749,0.00
750,0.00
751,0.00
752,0.00
753,92.35
754,198.77
755,278.34
756,165.99
757,299.86
758,373.60
759,314.91
760,215.74
761,114.58
762,0.00
763,0.00
764,0.00
765,0.00
766,0.00
767,0.00
768,0.00
769,0.00
770,0.00
771,0.00
772,0.00
773,0.00
774,0.00
775,0.00
776,0.00
777,60.98
778,156.46
779,227.90
780,324.31
781,349.13
782,314.72
783,249.45
784,172.71
785,89.53
786,0.00
787,0.00
788,0.00
789,0.00
790,0.00
791,0.00
792,0.00
793,0.00
794,0.00
795,0.00
796,0.00
797,0.00
798,0.00
799,0.00
800,0.00
801,120.35
802,288.11
803,366.04
804,445.28
805,475.73
806,393.03
807,326.84
808,228.07
809,105.55
810,0.00
811,0.00
812,0.00
813,0.00
814,0.00
815,0.00
816,0.00
817,0.00
818,0.00
819,0.00
820,0.00
821,0.00
822,0.00
823,0.00
824,0.00
825,124.14
826,252.91
827,354.43
828,412.34
829,341.39
830,335.46
831,283.08
832,242.03
833,94.08
834,0.00
835,0.00
836,0.00
837,0.00
838,0.00
839,0.00
840,0.00
841,0.00
842,0.00
843,0.00
844,0.00
845,0.00
846,0.00
847,0.00
848,0.00
849,72.08
850,159.84
851,184.18
852,205.21
853,160.32
854,201.32
855,123.83
856,69.46
857,42.28
858,0.00
859,0.00
860,0.00
861,0.00
862,0.00
863,0.00
864,0.00
865,0.00
866,0.00
867,0.00
868,0.00
869,0.00
870,0.00
871,0.00
872,0.00
873,112.59
874,230.11
875,319.61
876,383.26
877,386.90
878,335.10
879,267.89
880,178.67
881,103.15
882,0.00
883,0.00
884,0.00
885,0.00
886,0.00
887,0.00
888,0.00
889,0.00
890,0.00
891,0.00
892,0.00
893,0.00
894,0.00
895,0.00
896,0.00
897,92.50
898,197.80
899,316.14
900,338.33
901,324.02
902,305.12
903,272.68
904,171.47
905,66.91
906,0.00
907,0.00
908,0.00
909,0.00
910,0.00
911,0.00
912,0.00
913,0.00
914,0.00
915,0.00
916,0.00
917,0.00
918,0.00
919,0.00
920,0.00
921,54.86
922,124.88
923,192.18
924,282.10
925,373.71
926,385.31
927,293.27
928,208.73
929,103.53
930,0.00
931,0.00
932,0.00
933,0.00
934,0.00
935,0.00
936,0.00
937,0.00
938,0.00
939,0.00
940,0.00
941,0.00
942,0.00
943,0.00
944,0.00
945,160.27
946,314.86
947,449.67
948,510.12
949,504.87
950,526.05
951,409.14
952,306.31
953,152.97
954,0.00
955,0.00
956,0.00
957,0.00
958,0.00
959,0.00
960,0.00
961,0.00
962,0.00
963,0.00
964,0.00
965,0.00
966,0.00
967,0.00
968,0.00
969,119.59
970,294.26
971,386.70
972,499.11
973,499.51
974,488.24
975,423.17
976,313.93
977,159.07
978,0.00
979,0.00
980,0.00
981,0.00
982,0.00
983,0.00
984,0.00
985,0.00
986,0.00
987,0.00
988,0.00
989,0.00
990,0.00
991,0.00
992,0.00
993,123.17
994,199.33
995,286.62
996,272.99
997,284.00
998,370.60
999,323.33
1000,235.13
1001,107.66
1002,0.00
1003,0.00
1004,0.00
1005,0.00
1006,0.00
1007,0.00
1008,0.00
1009,0.00
1010,0.00
1011,0.00
1012,0.00
1013,0.00
1014,0.00
1015,0.00
1016,0.00
1017,164.85
1018,318.35
1019,423.96
1020,514.44
1021,530.37
1022,508.83
1023,417.58
1024,346.83
1025,155.16
1026,0.00
1027,0.00
1028,0.00
1029,0.00
1030,0.00
1031,0.00
1032,0.00
1033,0.00
1034,0.00
1035,0.00
1036,0.00
1037,0.00
1038,0.00
1039,0.00
1040,2.37
1041,111.36
1042,222.57
1043,320.94
1044,384.69
1045,407.35
1046,377.01
1047,359.61
1048,279.25
1049,148.77
1050,2.97
1051,0.00
1052,0.00
1053,0.00
1054,0.00
1055,0.00
1056,0.00
1057,0.00
1058,0.00
1059,0.00
1060,0.00
1061,0.00
1062,0.00
1063,0.00
1064,5.02
1065,105.47
1066,190.66
1067,169.35
1068,217.96
1069,224.07
1070,198.67
1071,151.81
1072,108.57
1073,83.41
1074,2.90
1075,0.00
1076,0.00
1077,0.00
1078,0.00
1079,0.00
1080,0.00
1081,0.00
1082,0.00
1083,0.00
1084,0.00
1085,0.00
1086,0.00
1087,0.00
1088,5.32
1089,73.00
1090,149.70
1091,136.76
1092,161.16
1093,211.98
1094,163.99
1095,110.48
1096,91.62
1097,47.26
1098,2.86
1099,0.00
1100,0.00
1101,0.00
1102,0.00
1103,0.00
1104,0.00
1105,0.00
1106,0.00
1107,0.00
1108,0.00
1109,0.00
1110,0.00
1111,0.00
1112,3.34
1113,42.98
1114,139.55
1115,216.20
1116,174.82
1117,178.05
1118,118.63
1119,130.42
1120,91.05
1121,43.82
1122,5.76
1123,0.00
1124,0.00
1125,0.00
1126,0.00
1127,0.00
1128,0.00
1129,0.00
1130,0.00
1131,0.00
1132,0.00
1133,0.00
1134,0.00
1135,0.00
1136,20.13
1137,150.77
1138,251.73
1139,291.39
1140,296.41
1141,370.90
1142,260.82
1143,86.74
1144,35.16
1145,30.09
1146,5.66
1147,0.00
1148,0.00
1149,0.00
1150,0.00
1151,0.00
1152,0.00
1153,0.00
1154,0.00
1155,0.00
1156,0.00
1157,0.00
1158,0.00
1159,0.00
1160,2.84
1161,38.29
1162,36.50
1163,69.41
1164,155.76
1165,64.86
1166,77.40
1167,68.65
1168,86.65
1169,25.67
1170,2.37
1171,0.00
1172,0.00
1173,0.00
1174,0.00
1175,0.00
1176,0.00
1177,0.00
1178,0.00
1179,0.00
1180,0.00
1181,0.00
1182,0.00
1183,0.00
1184,9.02
1185,72.64
1186,122.73
1187,131.52
1188,80.80
1189,70.15
1190,115.69
1191,56.06
1192,41.26
1193,25.31
1194,5.53
1195,0.00
1196,0.00
1197,0.00
1198,0.00
1199,0.00
1200,0.00
1201,0.00
1202,0.00
1203,0.00
1204,0.00
1205,0.00
1206,0.00
1207,0.00
1208,3.29
1209,50.25
1210,83.26
1211,124.42
1212,142.44
1213,134.41
1214,142.74
1215,118.91
1216,97.09
1217,37.36
1218,9.28
1219,0.00
1220,0.00
1221,0.00
1222,0.00
1223,0.00
1224,0.00
1225,0.00
1226,0.00
1227,0.00
1228,0.00
1229,0.00
1230,0.00
1231,0.00
1232,19.84
1233,111.49
1234,198.14
1235,269.83
1236,317.37
1237,319.87
1238,272.34
1239,225.15
1240,166.18
1241,84.08
1242,19.90
1243,0.00
1244,0.00
1245,0.00
1246,0.00
1247,0.00
1248,0.00
1249,0.00
1250,0.00
1251,0.00
1252,0.00
1253,0.00
1254,0.00
1255,0.00
1256,37.13
1257,185.11
1258,320.11
1259,383.72
1260,431.09
1261,414.94
1262,384.45
1263,377.86
1264,288.30
1265,225.53
1266,45.10
1267,0.00
1268,0.00
1269,0.00
1270,0.00
1271,0.00
1272,0.00
1273,0.00
1274,0.00
1275,0.00
1276,0.00
1277,0.00
1278,0.00
1279,0.00
1280,43.84
1281,189.78
1282,296.37
1283,333.31
1284,432.89
1285,541.43
1286,505.86
1287,437.83
1288,389.63
1289,241.07
1290,51.91
1291,0.00
1292,0.00
1293,0.00
1294,0.00
1295,0.00
1296,0.00
1297,0.00
1298,0.00
1299,0.00
1300,0.00
1301,0.00
1302,0.00
1303,0.00
1304,33.92
1305,133.14
1306,120.76
1307,171.69
1308,100.41
1309,55.94
1310,82.15
1311,56.98
1312,40.14
1313,42.54
1314,8.91
1315,0.00
1316,0.00
1317,0.00
1318,0.00
1319,0.00
1320,0.00
1321,0.00
1322,0.00
1323,0.00
1324,0.00
1325,0.00
1326,0.00
1327,0.00
1328,18.36
1329,46.20
1330,79.16
1331,75.08
1332,121.26
1333,101.12
1334,85.70
1335,104.29
1336,62.58
1337,56.32
1338,16.09
1339,0.00
1340,0.00
1341,0.00
1342,0.00
1343,0.00
1344,0.00
1345,0.00
1346,0.00
1347,0.00
1348,0.00
1349,0.00
1350,0.00
1351,0.00
1352,30.48
1353,104.18
1354,174.18
1355,66.64
1356,99.73
1357,132.78
1358,123.43
1359,152.55
1360,108.90
1361,108.72
1362,28.51
1363,0.00
1364,0.00
1365,0.00
1366,0.00
1367,0.00
1368,0.00
1369,0.00
1370,0.00
1371,0.00
1372,0.00
1373,0.00
1374,0.00
1375,0.00
1376,48.03
1377,172.54
1378,373.08
1379,498.17
1380,458.83
1381,426.51
1382,330.19
1383,382.88
1384,271.96
1385,177.98
1386,54.54
1387,0.00
1388,0.00
1389,0.00
1390,0.00
1391,0.00
1392,0.00
1393,0.00
1394,0.00
1395,0.00
1396,0.00
1397,0.00
1398,0.00
1399,0.00
1400,69.44
1401,238.89
1402,358.09
1403,472.11
1404,588.03
1405,557.29
1406,551.86
1407,552.18
1408,420.31
1409,240.27
1410,70.95
1411,0.00
1412,0.00
1413,0.00
1414,0.00
1415,0.00
1416,0.00
1417,0.00
1418,0.00
1419,0.00
1420,0.00
1421,0.00
1422,0.00
1423,0.00
1424,44.74
1425,143.04
1426,251.79
1427,424.62
1428,408.48
1429,463.77
1430,473.29
1431,347.71
1432,299.40
1433,183.73
1434,61.67
1435,0.00
1436,0.00
1437,0.00
1438,0.00
1439,0.00
1440,0.00
1441,0.00
1442,0.00
1443,0.00
1444,0.00
1445,0.00
1446,0.00
1447,0.00
1448,73.30
1449,237.99
1450,409.00
1451,539.25
1452,622.76
1453,566.69
1454,591.52
1455,518.71
1456,433.47
1457,266.60
1458,87.96
1459,0.00
1460,0.00
1461,0.00
1462,0.00
1463,0.00
1464,0.00
1465,0.00
1466,0.00
1467,0.00
1468,0.00
1469,0.00
1470,0.00
1471,0.00
1472,72.28
1473,231.22
1474,349.93
1475,530.56
1476,581.88
1477,556.45
1478,500.78
1479,465.26
1480,338.34
1481,201.09
1482,65.84
1483,0.00
1484,0.00
1485,0.00
1486,0.00
1487,0.00
1488,0.00
1489,0.00
1490,0.00
1491,0.00
1492,0.00
1493,0.00
1494,0.00
1495,0.00
1496,52.25
1497,148.65
1498,248.44
1499,313.55
1500,486.60
1501,473.57
1502,484.80
1503,477.74
1504,345.35
1505,223.06
1506,93.24
1507,0.00
1508,0.00
1509,0.00
1510,0.00
1511,0.00
1512,0.00
1513,0.00
1514,0.00
1515,0.00
1516,0.00
1517,0.00
1518,0.00
1519,0.00
1520,96.93
1521,211.91
1522,257.20
1523,321.64
1524,388.97
1525,459.23
1526,517.72
1527,455.44
1528,411.80
1529,256.58
1530,74.49
1531,0.00
1532,0.00
1533,0.00
1534,0.00
1535,0.00
1536,0.00
1537,0.00
1538,0.00
1539,0.00
1540,0.00
1541,0.00
1542,0.00
1543,0.00
1544,55.43
1545,135.97
1546,275.63
1547,369.09
1548,345.03
1549,390.17
1550,417.69
1551,366.19
1552,239.58
1553,161.40
1554,49.95
1555,0.00
1556,0.00
1557,0.00
1558,0.00
1559,0.00
1560,0.00
1561,0.00
1562,0.00
1563,0.00
1564,0.00
1565,0.00
1566,0.00
1567,0.00
1568,93.59
1569,243.75
1570,400.98
1571,507.25
1572,602.72
1573,572.60
1574,554.00
1575,538.59
1576,428.39
1577,270.94
1578,106.90
1579,0.00
1580,0.00
1581,0.00
1582,0.00
1583,0.00
1584,0.00
1585,0.00
1586,0.00
1587,0.00
1588,0.00
1589,0.00
1590,0.00
1591,0.00
1592,60.17
1593,160.55
1594,310.57
1595,343.32
1596,463.57
1597,423.74
1598,404.00
1599,393.14
1600,367.77
1601,182.50
1602,75.61
1603,0.00
1604,0.00
1605,0.00
1606,0.00
1607,0.00
1608,0.00
1609,0.00
1610,0.00
1611,0.00
1612,0.00
1613,0.00
1614,0.00
1615,0.00
1616,49.46
1617,192.54
1618,354.41
1619,479.39
1620,538.01
1621,570.61
1622,495.38
1623,400.23
1624,321.12
1625,178.58
1626,72.82
1627,0.00
1628,0.00
1629,0.00
1630,0.00
1631,0.00
1632,0.00
1633,0.00
1634,0.00
1635,0.00
1636,0.00
1637,0.00
1638,0.00
1639,0.00
1640,60.07
1641,159.15
1642,161.53
1643,235.39
1644,97.56
1645,105.62
1646,63.56
1647,69.42
1648,83.15
1649,50.87
1650,26.79
1651,0.00
1652,0.00
1653,0.00
1654,0.00
1655,0.00
1656,0.00
1657,0.00
1658,0.00
1659,0.00
1660,0.00
1661,0.00
1662,0.00
1663,0.00
1664,35.08
1665,29.49
1666,57.40
1667,69.96
1668,187.53
1669,273.25
1670,257.95
1671,182.08
1672,179.84
1673,92.83
1674,42.50
1675,0.00
1676,0.00
1677,0.00
1678,0.00
1679,0.00
1680,0.00
1681,0.00
1682,0.00
1683,0.00
1684,0.00
1685,0.00
1686,0.00
1687,0.00
1688,83.49
1689,209.95
1690,317.88
1691,408.04
1692,512.00
1693,581.46
1694,442.15
1695,367.81
1696,252.96
1697,166.74
1698,64.37
1699,0.00
1700,0.00
1701,0.00
1702,0.00
1703,0.00
1704,0.00
1705,0.00
1706,0.00
1707,0.00
1708,0.00
1709,0.00
1710,0.00
1711,0.00
1712,50.89
1713,118.84
1714,257.48
1715,364.71
1716,419.60
1717,460.58
1718,440.12
1719,383.33
1720,306.56
1721,253.64
1722,108.49
1723,0.00
1724,0.00
1725,0.00
1726,0.00
1727,0.00
1728,0.00
1729,0.00
1730,0.00
1731,0.00
1732,0.00
1733,0.00
1734,0.00
1735,0.00
1736,140.31
1737,341.36
1738,494.40
1739,355.45
1740,375.69
1741,377.04
1742,356.41
1743,248.90
1744,146.02
1745,93.64
1746,60.89
1747,0.00
1748,0.00
1749,0.00
1750,0.00
1751,0.00
1752,0.00
1753,0.00
1754,0.00
1755,0.00
1756,0.00
1757,0.00
1758,0.00
1759,0.00
1760,83.33
1761,180.46
1762,288.34
1763,386.28
1764,429.53
1765,437.08
1766,418.60
1767,363.56
1768,344.62
1769,236.30
1770,128.17
1771,0.00
1772,0.00
1773,0.00
1774,0.00
1775,0.00
1776,0.00
1777,0.00
1778,0.00
1779,0.00
1780,0.00
1781,0.00
1782,0.00
1783,0.00
1784,129.94
1785,271.21
1786,409.12
1787,422.89
1788,523.00
1789,497.08
1790,476.13
1791,331.29
1792,256.58
1793,179.27
1794,78.29
1795,0.00
1796,0.00
1797,0.00
1798,0.00
1799,0.00
1800,0.00
1801,0.00
1802,0.00
1803,0.00
1804,0.00
1805,0.00
1806,0.00
1807,0.00
1808,98.94
1809,239.79
1810,421.26
1811,525.31
1812,615.11
1813,628.39
1814,594.88
1815,562.24
1816,278.68
1817,202.93
1818,87.40
1819,0.00
1820,0.00
1821,0.00
1822,0.00
1823,0.00
1824,0.00
1825,0.00
1826,0.00
1827,0.00
1828,0.00
1829,0.00
1830,0.00
1831,0.00
1832,128.00
1833,281.68
1834,393.42
1835,528.02
1836,574.60
1837,443.80
1838,379.79
1839,574.16
1840,524.05
1841,348.36
1842,171.47
1843,0.00
1844,0.00
1845,0.00
1846,0.00
1847,0.00
1848,0.00
1849,0.00
1850,0.00
1851,0.00
1852,0.00
1853,0.00
1854,0.00
1855,0.00
1856,163.79
1857,333.60
1858,471.65
1859,543.50
1860,669.76
1861,689.53
1862,653.36
1863,549.63
1864,445.59
1865,332.27
1866,164.08
1867,0.00
1868,0.00
1869,0.00
1870,0.00
1871,0.00
1872,0.00
1873,0.00
1874,0.00
1875,0.00
1876,0.00
1877,0.00
1878,0.00
1879,0.00
1880,141.29
1881,283.92
1882,385.52
1883,417.99
1884,488.08
1885,529.79
1886,430.67
1887,196.71
1888,160.33
1889,221.10
1890,107.77
1891,0.00
1892,0.00
1893,0.00
1894,0.00
1895,0.00
1896,0.00
1897,0.00
1898,0.00
1899,0.00
1900,0.00
1901,0.00
1902,0.00
1903,0.00
1904,178.25
1905,378.07
1906,475.44
1907,602.30
1908,624.70
1909,644.54
1910,614.10
1911,480.14
1912,376.50
1913,279.90
1914,147.73
1915,0.00
1916,0.00
1917,0.00
1918,0.00
1919,0.00
1920,0.00
1921,0.00
1922,0.00
1923,0.00
1924,0.00
1925,0.00
1926,0.00
1927,0.00
1928,106.36
1929,196.07
1930,266.88
1931,278.99
1932,272.33
1933,225.80
1934,344.40
1935,341.94
1936,316.61
1937,262.50
1938,135.64
1939,0.00
1940,0.00
1941,0.00
1942,0.00
1943,0.00
1944,0.00
1945,0.00
1946,0.00
1947,0.00
1948,0.00
1949,0.00
1950,0.00
1951,0.00
1952,173.80
1953,288.74
1954,381.31
1955,424.34
1956,484.53
1957,503.92
1958,474.07
1959,492.15
1960,530.47
1961,346.86
1962,182.98
1963,0.00
1964,0.00
1965,0.00
1966,0.00
1967,0.00
1968,0.00
1969,0.00
1970,0.00
1971,0.00
1972,0.00
1973,0.00
1974,0.00
1975,4.49
1976,161.40
1977,323.88
1978,482.18
1979,589.00
1980,632.29
1981,657.61
1982,553.09
1983,492.68
1984,423.28
1985,315.77
1986,153.56
1987,3.82
1988,0.00
1989,0.00
1990,0.00
1991,0.00
1992,0.00
1993,0.00
1994,0.00
1995,0.00
1996,0.00
1997,0.00
1998,0.00
1999,9.15
2000,191.13
2001,322.46
2002,472.69
2003,545.13
2004,650.34
2005,737.66
2006,587.58
2007,549.07
2008,412.32
2009,295.01
2010,131.62
2011,5.42
2012,0.00
2013,0.00
2014,0.00
2015,0.00
2016,0.00
2017,0.00
2018,0.00
2019,0.00
2020,0.00
2021,0.00
2022,0.00
2023,12.05
2024,133.30
2025,243.55
2026,380.79
2027,477.51
2028,490.07
2029,541.14
2030,529.33
2031,487.71
2032,459.98
2033,351.26
2034,180.57
2035,14.45
2036,0.00
2037,0.00
2038,0.00
2039,0.00
2040,0.00
2041,0.00
2042,0.00
2043,0.00
2044,0.00
2045,0.00
2046,0.00
2047,21.43
2048,222.15
2049,406.60
2050,567.33
2051,687.36
2052,759.95
2053,776.89
2054,677.09
2055,636.77
2056,563.82
2057,338.61
2058,162.79
2059,16.17
2060,0.00
2061,0.00
2062,0.00
2063,0.00
2064,0.00
2065,0.00
2066,0.00
2067,0.00
2068,0.00
2069,0.00
2070,0.00
2071,14.28
2072,118.85
2073,226.59
2074,364.59
2075,499.26
2076,582.68
2077,599.31
2078,523.10
2079,452.06
2080,244.61
2081,165.20
2082,94.87
2083,10.09
2084,0.00
2085,0.00
2086,0.00
2087,0.00
2088,0.00
2089,0.00
2090,0.00
2091,0.00
2092,0.00
2093,0.00
2094,0.00
2095,11.67
2096,91.16
2097,181.67
2098,183.16
2099,61.95
2100,318.80
2101,395.85
2102,400.30
2103,347.70
2104,273.48
2105,201.39
2106,149.86
2107,18.94
2108,0.00
2109,0.00
2110,0.00
2111,0.00
2112,0.00
2113,0.00
2114,0.00
2115,0.00
2116,0.00
2117,0.00
2118,0.00
2119,18.53
2120,123.10
2121,238.42
2122,317.99
2123,282.15
2124,311.49
2125,392.35
2126,262.94
2127,265.59
2128,116.38
2129,56.16
2130,31.61
2131,6.68
2132,0.00
2133,0.00
